Kernel,Time,Speedup
3,9.5475618,1.0003232867264604
3,8.334607199999999,1.1459026407387263
3,7.7813918,1.2273701987348844
3,7.7473006,1.232771115141705
3,7.7667638,1.2296818399447143
3,7.7533942,1.231802247330595
5,12.531369399999999,0.9920980224236308
5,9.691135599999999,1.2828575837902836
5,8.3409086,1.4905266795514338
5,8.3626436,1.4866527135031797
5,8.395856,1.480771799802188
5,8.3760362,1.4842756768410337
7,17.216917799999997,0.9777487582591582
7,11.8817516,1.4167793240181856
7,9.4486348,1.7816139957065538
7,9.4574338,1.7799564190446668
7,9.503178799999999,1.7713883274510207
7,9.4462358,1.7820664608012426
9,23.4113808,0.975310631827406
9,14.8934174,1.533118154601643
9,10.8459956,2.105234912689804
9,10.9598144,2.0833718315521836
9,10.9794912,2.0796381347798705
9,11.002266,2.0753332631659696
11,31.470875799999998,0.9714540959803858
11,18.853930400000003,1.6215457759407021
11,12.8689854,2.3756737807783974
11,13.094322199999999,2.3347914258593696
11,13.1138104,2.3313217339180072
11,13.094325399999999,2.3347908552814793
13,40.7372678,0.9717721128072317
13,23.445786,1.6884629416987773
13,15.1762488,2.6085063128379926
13,15.7010346,2.5213205249544517
13,15.573163,2.5420231458439115
13,15.756877399999999,2.5123848967689506
15,51.7210328,0.9669175863789015
15,28.953790399999995,1.7272341724211695
15,18.0199812,2.7752512971545165
15,18.563735200000004,2.6939608683924767
15,18.508864600000003,2.701947271255093
15,18.5485686,2.696163638201171
